Zona de planificacion;Distrito;Distrito MIES;Provincia;id_provincia;Canton;id_canton;Parroquia;id_parroquia;Región;Servicio;Modalidad;Modalidad_1;Tipo gestion_ua;Fuente financiamiento_ua;Tipo administracion_ua;Cooperante;Hombre;"Mujer
(excluye mujeres gestantes)";"Total
(excluye mujeres gestantes)";Total general (incluye mujeres gestantes);1_0 - 3 primera infancia Hombre;1_0 - 3 primera infancia Mujer;2_4 - 5 primera infancia Hombre;2_4 - 5 primera infancia Mujer;3_6 - 11 segunda infancia Hombre;3_6 - 11 segunda infancia Mujer;4_12 - 14 adolescencia Hombre;4_12 - 14 adolescencia Mujer;5_15 - 17 adolescencia Hombre;5_15 - 17 adolescencia Mujer;6_18 - 29 juventud Hombre;6_18 - 29 juventud Mujer;7_30 - 64 adultez Hombre;7_30 - 64 adultez Mujer;8_65 y más adulta mayor Hombre;8_65 y más adulta mayor Mujer;Afroecuatoriano Hombre;Afroecuatoriano Mujer;Indígena Hombre;Indígena Mujer;Mestizo Hombre;Mestizo Mujer;Montuvio Hombre;Montuvio Mujer;Blanco Hombre;Blanco Mujer;Otro Hombre;Otro Mujer;Sin discapacidad Hombre ;Sin discapacidad Mujer;Con discapacidad Hombre;Con discapacidad Mujer;Con discapacidad Total;Discapacidad auditiva Hombre;Discapacidad auditiva Mujer;Discapacidad física Hombre;Discapacidad física Mujer;Discapacidad intelectual Hombre;Discapacidad intelectual Mujer;Discapacidad lenguaje Hombre;Discapacidad lenguaje Mujer;Discapacidad mental Hombre;Discapacidad mental Mujer;Discapacidad psicologico Hombre;Discapacidad psicologico Mujer;Discapacidad psicosocial Hombre;Discapacidad psicosocial Mujer;Discapacidad visual Hombre;Discapacidad visual Mujer;Discapacidad ninguna Hombre;Discapacidad ninguna Mujer;Capacidad máxima;*Area urbana rural;Asistencia promedio;Asistencia NT;DII_01_menor_6_m_Hombre;DII_01_menor_6_m_Mujer;DII_02_6a9_m_Hombre;DII_02_6a9_m_Mujer;DII_03_10a11_m_Hombre;DII_03_10a11_m_Mujer;DII_04_12a18_m_Hombre;DII_04_12a18_m_Mujer;DII_05_19a24_m_Hombre;DII_05_19a24_m_Mujer;DII_06_25a36_m_Hombre;DII_06_25a36_m_Mujer;DII_07_mayor_36_m_Hombre;DII_07_mayor_36_m_Mujer;Modalidad nueva;Modalidad nueva2;Ecuatoriano;Extranjero;Tiene_RS_SI_METRICA2018;Tiene_RS_NO_METRICA2018;EXTREMA_POBREZA_METRICA2018;POBRE_METRICA2018;NO_POBRE_METRICA2018;Tipo gasto;embarazada_SI;G3_6a11_segunda_infancia;G4_12a14_adolescencia;G5_15a17_adolescencia;G6_18a29_juventud;G7_30a64_adultez;G8_65_mas_adulta_mayor;dias_asistencia_embarazada;base_ninos;extremo_vulnerable_dii;vulnerable_dii;no_vulnerable_dii;Ficha_levantada_dii;base_embarazadas;extremo_vulnerable_embz;vulnerable_embz;no_vulnerable_embz;Ficha_levantada_embz;base_pam;vulnerabilidad_alta_pam;vulnerabilidad_media_pam;vulnerabilidad_baja_pam;Ficha_levantada_pam_Diurno_Activo_Domiciar;Ficha_levantada_pam_Residencial;base_pcd;vulnerabilidad_alta_pcd;vulnerabilidad_media_pcd;vulnerabilidad_baja_pcd;Ficha_levantada_Personas_con_Discapacidad;Sin asistencia;Tipo;servicio1;tipo_gestion_ua_o;Afganistán;Alemania;Alemania_República_Democrática;Antigua_y_Barbuda;Apátrida;Argelia;Argentina;Australia;Bahamas;Barbados;Bélgica;Bermudas;Bolivia;Brasil;Caimán_Islas;Canadá;Checa_República_Checoslovaquia;Chile;China_República_Popular_Pekin;Colombia;Corea_del_Sur_República_de;Costa_Rica;Cuba;Curazao_Isla;Dominicana_República;Egipto;El_Salvador;España;Estados_Unidos;Francia;Granada;Groenlandia;Guatemala;Guinea;Guinea_Bissau;Haití;Honduras;India;Irán_República_Islámica_de;Israel;Italia;Jamaica;Liechtestein;Marruecos;Martinica;Mexico;Nicaragua;Otras_naciones_de_Africa;Otras_naciones_de_America;Otras_Naciones_de_Europa;Panamá;Paraguay;Perú;Rwanda;Reino_Unido_Escocia_Gran_Bretaña_Inglaterra;Sudafrica_Ciskei;Surinam;Territorio_Británico_del_Oceáno_Índico;Ucrania;Uganda;Uruguay;Venezuela;Yemen;Sin_Especificar;SNAI_Si;SNAI_No;dias_asistencia_sum;DII_cobert_asist
Zona Planificación 1;08D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A ESMERALDAS;ESMERALDAS;08;ESMERALDAS;0801;5 DE AGOSTO;080102;Costa;DESARROLLO INFANTIL INTEGRAL;CNH - Misión Ternura;4.- CNH - Misión Ternura;PUBLICOS;FONDOS MIES;ADMINISTRACION DIRECTA;ESTATAL;23;20;43;45;23;20;;;;;;;;;;2;;;;;20;21;1;;1;1;;;;;1;;23;22;;;;;;;;;;;;;;;;;;;;;;45;Urbano;2;4;2;1;1;3;1;;7;5;2;2;10;8;;1;CNH - Misión Ternura;4.- CNH - Misión Ternura;45;;42;3;17;23;2;corriente;2;;;;2;;;1,00;5;;5;;5;;;;;;;;;;;;;;;;;;EXTRAMURAL;DESARROLLO INFANTIL INTEGRAL - MISIÓN TERNURA;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;80;1
Zona Planificación 1;08D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A ESMERALDAS;ESMERALDAS;08;ESMERALDAS;0801;5 DE AGOSTO;080102;Costa;DESARROLLO INFANTIL INTEGRAL;CNH - Misión Ternura;4.- CNH - Misión Ternura;PUBLICOS;FONDOS MIES;ADMINISTRACION DIRECTA;ESTATAL;24;19;43;45;24;19;;;;;;;;1;;1;;;;;22;17;;;2;3;;;;1;;;24;21;;;;;;;;;;;;;;;;;;;;;;45;Urbano;4;4;3;2;2;5;1;1;4;3;3;7;11;1;;;CNH - Misión Ternura;4.- CNH - Misión Ternura;45;;45;;10;35;;corriente;2;;;1;1;;;4,00;4;;4;;4;;;;;;;;;;;;;;;;;;EXTRAMURAL;DESARROLLO INFANTIL INTEGRAL - MISIÓN TERNURA;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;181;1
Zona Planificación 1;08D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A ESMERALDAS;ESMERALDAS;08;ESMERALDAS;0801;5 DE AGOSTO;080102;Costa;PERSONAS ADULTOS MAYORES - PEJ;ATENCIÓN DOMICILIARIA;3.- DOMICILIAR;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;OSC;12;8;20;20;;;;;;;;;;;;;2;1;10;7;4;4;1;;6;4;;;1;;;;;;12;8;20;1;;7;5;;;;;;;;;1;1;3;2;;;20;Urbano;4;4;;;;;;;;;;;;;;;ATENCIÓN DOMICILIARIA-PERSONAS CON DISCAPACIDAD_PAM;5.- DOMICILIAR PcD PAM;20;;16;4;1;10;5;corriente;;;;;;;;;;;;;;;;;;;1;;1;;1;;;;;;;;EXTRAMURAL;PERSONAS ADULTOS MAYORES - PEJ;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84;
Zona Planificación 1;08D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A ESMERALDAS;ESMERALDAS;08;ESMERALDAS;0801;5 DE AGOSTO;080102;Costa;DESARROLLO INFANTIL INTEGRAL;ACOMPAÑAMIENTO FAMILIAR;1.- ACOMPAÑAMIENTO FAMILIAR;PUBLICOS;FONDOS MIES;ADMINISTRACION DIRECTA;ESTATAL;10;85;95;95;;;;;;;;;;;3;19;7;66;;;1;1;8;71;1;13;;;;;;;10;85;;;;;;;;;;;;;;;;;;;;;;96;Urbano;1;3;;;;;;;;;;;;;10;85;ACOMPAÑAMIENTO FAMILIAR;1.- ACOMPAÑAMIENTO FAMILIAR;95;;95;;83;12;;;;;;;;;;;;;;;;3;;2;1;3;;;;;;;;;;;;;;ACOMPAÑAMIENTO FAMILIAR;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;48;
Zona Planificación 1;08D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A ESMERALDAS;ESMERALDAS;08;ESMERALDAS;0801;ESMERALDAS;080103;Costa;DESARROLLO INFANTIL INTEGRAL;CENTROS DE DESARROLLO INFANTIL - CDI;2.- CDI DIRECTOS;PUBLICOS;FONDOS MIES;ADMINISTRACION DIRECTA;ESTATAL;27;33;60;60;27;33;;;;;;;;;;;;;;;10;13;;;17;15;;;;1;;4;27;33;;;;;;;;;;;;;;;;;;;;;;80;Urbano;11;20;;;;;;;4;6;8;8;15;19;;;CENTRO DE DESARROLLO INFANTIL–CDI–MIES(DIRECTOS - CONVENIOS);2.- CDI DIRECTOS;60;;46;14;6;28;12;corriente;;;;;;;;;27;1;25;1;27;;;;;;;;;;;;;;;;;;INTRAMURAL;DESARROLLO INFANTIL INTEGRAL;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;642;1
Zona Planificación 1;08D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A ESMERALDAS;ESMERALDAS;08;ESMERALDAS;0801;ESMERALDAS;080103;Costa;DESARROLLO INFANTIL INTEGRAL;CENTROS DE DESARROLLO INFANTIL - CDI;3.- CDI CONVENIOS;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;OSC;15;12;27;27;15;12;;;;;;;;;;;;;;;10;8;;;5;4;;;;;;;15;12;;;;;;;;;;;;;;;;;;;;;;27;Urbano;19;20;;;;;;;1;;4;5;10;6;;1;CENTRO DE DESARROLLO INFANTIL–CDI–MIES(DIRECTOS - CONVENIOS);3.- CDI CONVENIOS;27;;24;3;8;11;5;corriente;;;;;;;;;12;;12;;12;;;;;;;;;;;;;;;;;;INTRAMURAL;DESARROLLO INFANTIL INTEGRAL;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;515;1
Zona Planificación 1;08D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A ESMERALDAS;ESMERALDAS;08;ESMERALDAS;0801;ESMERALDAS;080103;Costa;DESARROLLO INFANTIL INTEGRAL;CENTROS DE DESARROLLO INFANTIL - CDI;3.- CDI CONVENIOS;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;OSC;31;23;54;54;31;23;;;;;;;;;;;;;;;27;21;;;3;2;;;1;;;;31;23;;;;;;;;;;;;;;;;;;;;;;54;Urbano;19;20;;;;;;;6;4;2;8;23;11;;;CENTRO DE DESARROLLO INFANTIL–CDI–MIES(DIRECTOS - CONVENIOS);3.- CDI CONVENIOS;54;;53;1;10;36;7;corriente;;;;;;;;;9;;9;;9;;;;;;;;;;;;;;;;;;INTRAMURAL;DESARROLLO INFANTIL INTEGRAL;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;1038;1
Zona Planificación 1;08D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A ESMERALDAS;ESMERALDAS;08;ESMERALDAS;0801;ESMERALDAS;080103;Costa;DESARROLLO INFANTIL INTEGRAL;CENTROS DE DESARROLLO INFANTIL - CDI;3.- CDI CONVENIOS;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;OSC;18;18;36;36;18;18;;;;;;;;;;;;;;;16;17;;;2;1;;;;;;;18;18;;;;;;;;;;;;;;;;;;;;;;36;Urbano;20;20;;;;;;;;2;5;5;13;11;;;CENTRO DE DESARROLLO INFANTIL–CDI–MIES(DIRECTOS - CONVENIOS);3.- CDI CONVENIOS;36;;34;2;7;22;5;corriente;;;;;;;;;4;;4;;4;;;;;;;;;;;;;;;;;;INTRAMURAL;DESARROLLO INFANTIL INTEGRAL;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;35;728;1
Zona Planificación 1;08D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A ESMERALDAS;ESMERALDAS;08;ESMERALDAS;0801;ESMERALDAS;080103;Costa;DESARROLLO INFANTIL INTEGRAL;CENTROS DE DESARROLLO INFANTIL - CDI;3.- CDI CONVENIOS;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;OSC;23;22;45;45;23;22;;;;;;;;;;;;;;;19;13;;;3;9;;;1;;;;23;22;;;;;;;;;;;;;;;;;;;;;;45;Urbano;18;20;;;;;;;3;3;7;9;12;10;1;;CENTRO DE DESARROLLO INFANTIL–CDI–MIES(DIRECTOS - CONVENIOS);3.- CDI CONVENIOS;44;1;39;6;9;23;7;corriente;;;;;;;;;11;;11;;11;;;;;;;;;;;;;;;;;;INTRAMURAL;DESARROLLO INFANTIL INTEGRAL;PUBLICOS;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;817;1
Zona Planificación 1;08D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A ESMERALDAS;ESMERALDAS;08;ESMERALDAS;0801;ESMERALDAS;080103;Costa;DESARROLLO INFANTIL INTEGRAL;CENTROS DE DESARROLLO INFANTIL - CDI;3.- CDI CONVENIOS;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;OSC;15;12;27;27;15;12;;;;;;;;;;;;;;;8;7;;;7;5;;;;;;;15;12;;;;;;;;;;;;;;;;;;;;;;27;Urbano;21;20;;;;;;;2;;7;;4;10;2;2;CENTRO DE DESARROLLO INFANTIL–CDI–MIES(DIRECTOS - CONVENIOS);3.- CDI CONVENIOS;27;;26;1;10;12;4;corriente;;;;;;;;;2;;2;;2;;;;;;;;;;;;;;;;;;INTRAMURAL;DESARROLLO INFANTIL INTEGRAL;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;26;563;1
Zona Planificación 1;08D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A ESMERALDAS;ESMERALDAS;08;ESMERALDAS;0801;ESMERALDAS;080103;Costa;PERSONAS CON DISCAPACIDAD;ATENCIÓN EN EL HOGAR Y LA COMUNIDAD;3.- DOMICILIAR;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;OSC;14;16;30;30;;;;;;;;;;;2;3;12;13;;;3;4;;;9;10;1;;1;2;;;;;14;16;30;;4;4;5;9;4;;;;;;1;;;1;2;;;30;Urbano;2;2;;;;;;;;;;;;;;;ATENCIÓN EN EL HOGAR Y LA COMUNIDAD;3.- DOMICILIAR;30;;28;2;4;20;4;corriente;;;;;;;;;;;;;;;;;;;;;;;;;25;9;15;1;25;;EXTRAMURAL;PERSONAS CON DISCAPACIDAD;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64;
Zona Planificación 1;08D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A ESMERALDAS;ESMERALDAS;08;ESMERALDAS;0801;ESMERALDAS;080103;Costa;PERSONAS CON DISCAPACIDAD;ATENCIÓN EN EL HOGAR Y LA COMUNIDAD;3.- DOMICILIAR;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;OSC;9;20;29;29;;;;;;;;;;;4;4;5;16;;;5;14;;;4;6;;;;;;;;;9;20;29;;;2;6;4;11;1;;;;;;2;;;3;;;30;Urbano;2;2;;;;;;;;;;;;;;;ATENCIÓN EN EL HOGAR Y LA COMUNIDAD;3.- DOMICILIAR;29;;29;;8;18;3;corriente;;;;;;;;;;;;;;;;;;;;;;;;;26;24;2;;26;;EXTRAMURAL;PERSONAS CON DISCAPACIDAD;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62;
Zona Planificación 1;08D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A ESMERALDAS;ESMERALDAS;08;ESMERALDAS;0801;ESMERALDAS;080103;Costa;PERSONAS CON DISCAPACIDAD;ATENCIÓN EN EL HOGAR Y LA COMUNIDAD;3.- DOMICILIAR;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;OSC;17;13;30;30;;;;;;;;;;;3;3;14;10;;;8;4;;;7;9;2;;;;;;;;17;13;30;4;3;7;4;3;4;2;;;;;;;1;1;1;;;30;Urbano;2;2;;;;;;;;;;;;;;;ATENCIÓN EN EL HOGAR Y LA COMUNIDAD;3.- DOMICILIAR;30;;30;;7;17;6;corriente;;;;;;;;;;;;;;;;;;;;;;;;;23;9;12;2;23;;EXTRAMURAL;PERSONAS CON DISCAPACIDAD;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62;
Zona Planificación 1;08D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A ESMERALDAS;ESMERALDAS;08;ESMERALDAS;0801;ESMERALDAS;080103;Costa;PERSONAS CON DISCAPACIDAD;ATENCIÓN EN EL HOGAR Y LA COMUNIDAD;3.- DOMICILIAR;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;OSC;14;16;30;30;;;;;;;;;;;2;5;12;11;;;1;;;;12;15;1;;;1;;;;;14;16;30;;;6;4;6;10;;1;;;1;;;1;1;;;;30;Urbano;2;2;;;;;;;;;;;;;;;ATENCIÓN EN EL HOGAR Y LA COMUNIDAD;3.- DOMICILIAR;30;;30;;12;12;6;corriente;;;;;;;;;;;;;;;;;;;;;;;;;25;11;12;2;25;;EXTRAMURAL;PERSONAS CON DISCAPACIDAD;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64;
Zona Planificación 1;08D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A ESMERALDAS;ESMERALDAS;08;ESMERALDAS;0801;ESMERALDAS;080103;Costa;PERSONAS CON DISCAPACIDAD;ATENCIÓN EN EL HOGAR Y LA COMUNIDAD;3.- DOMICILIAR;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;OSC;13;17;30;30;;;;;;;;;;;4;5;9;12;;;5;7;;;8;9;;;;1;;;;;13;17;30;;5;5;3;7;8;;;;;;;;;1;1;;;30;Urbano;2;2;;;;;;;;;;;;;;;ATENCIÓN EN EL HOGAR Y LA COMUNIDAD;3.- DOMICILIAR;30;;30;;9;15;6;corriente;;;;;;;;;;;;;;;;;;;;;;;;;21;7;9;5;21;;EXTRAMURAL;PERSONAS CON DISCAPACIDAD;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64;
Zona Planificación 1;08D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A ESMERALDAS;ESMERALDAS;08;ESMERALDAS;0801;ESMERALDAS;080103;Costa;PERSONAS CON DISCAPACIDAD;ATENCIÓN EN EL HOGAR Y LA COMUNIDAD;3.- DOMICILIAR;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;OSC;16;14;30;30;;;;;;;;;;;5;6;11;8;;;9;8;;;6;6;1;;;;;;;;16;14;30;3;7;7;3;6;3;;;;;;;;1;;;;;30;Urbano;1;2;;;;;;;;;;;;;;;ATENCIÓN EN EL HOGAR Y LA COMUNIDAD;3.- DOMICILIAR;30;;30;;12;16;2;corriente;;;;;;;;;;;;;;;;;;;;;;;;;19;11;8;;19;;EXTRAMURAL;PERSONAS CON DISCAPACIDAD;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;
Zona Planificación 1;08D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A ESMERALDAS;ESMERALDAS;08;ESMERALDAS;0801;ESMERALDAS;080103;Costa;PERSONAS ADULTOS MAYORES - PEJ;ATENCIÓN DOMICILIARIA;3.- DOMICILIAR;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;OSC;10;9;19;19;;;;;;;;;;;;;;;10;9;10;5;;;;4;;;;;;;;1;10;8;18;1;;8;6;;;;;;;;;;;1;2;;;20;Urbano;4;4;;;;;;;;;;;;;;;ATENCIÓN DOMICILIARIA-PERSONAS CON DISCAPACIDAD_PAM;5.- DOMICILIAR PcD PAM;19;;13;6;1;5;7;corriente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EXTRAMURAL;PERSONAS ADULTOS MAYORES - PEJ;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;
Zona Planificación 1;08D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A ESMERALDAS;ESMERALDAS;08;ESMERALDAS;0801;ESMERALDAS;080103;Costa;PROTECCION ESPECIAL;ERRADICACIÓN PROGRESIVA DE LA MENDICIDAD;4.- MENDICIDAD;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;OSC;42;36;78;78;;;;;15;11;10;11;5;2;1;;4;7;7;5;30;22;;;11;13;;1;;;1;;35;30;7;6;13;;1;2;1;5;2;;;;;;;;2;;;;;80;Urbano;2;1;;;;;;;;;;;;;;;ERRADICACIÓN PROGRESIVA DE LA MENDICIDAD;4.- MENDICIDAD;76;2;76;2;42;28;6;corriente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EXTRAMURAL;PROTECCION ESPECIAL;PUBLICOS;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;156;
Zona Planificación 1;08D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A ESMERALDAS;ESMERALDAS;08;ESMERALDAS;0801;LUIS TELLO  (LAS PALMAS);080104;Costa;DESARROLLO INFANTIL INTEGRAL;CENTROS DE DESARROLLO INFANTIL - CDI;3.- CDI CONVENIOS;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;OSC;17;10;27;27;17;10;;;;;;;;;;;;;;;3;1;;;14;9;;;;;;;17;10;;;;;;;;;;;;;;;;;;;;;;27;Urbano;20;20;;;;;;;;1;5;2;12;6;;1;CENTRO DE DESARROLLO INFANTIL–CDI–MIES(DIRECTOS - CONVENIOS);3.- CDI CONVENIOS;27;;25;2;9;11;5;corriente;;;;;;;;;10;;10;;10;;;;;;;;;;;;;;;;;;INTRAMURAL;DESARROLLO INFANTIL INTEGRAL;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;547;1
Zona Planificación 1;08D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A ESMERALDAS;ESMERALDAS;08;ESMERALDAS;0801;LUIS TELLO  (LAS PALMAS);080104;Costa;PERSONAS ADULTOS MAYORES - PEJ;ESPACIOS DE SOCIALIZACIÓN Y ENCUENTRO;4.- ACTIVOS;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;OSC;27;43;70;70;;;;;;;;;;;;;1;;26;43;10;17;;;17;23;;;;;;3;21;41;6;2;8;;;2;2;1;;;;;;;;;;3;;;;70;Urbano;12;3;;;;;;;;;;;;;;;ESPACIOS ACTIVOS CON ALIMENTACION;4.- ACTIVOS CA;68;2;68;2;8;27;33;inversion;;;;;;;;;;;;;;;;;;;12;4;2;6;12;;;;;;;;INTRAMURAL;PERSONAS ADULTOS MAYORES - PEJ;PUBLICOS;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;864;
Zona Planificación 1;08D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A ESMERALDAS;ESMERALDAS;08;ESMERALDAS;0801;LUIS TELLO  (LAS PALMAS);080104;Costa;PERSONAS CON DISCAPACIDAD;ATENCIÓN EN EL HOGAR Y LA COMUNIDAD;3.- DOMICILIAR;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;OSC;11;19;30;30;;;;;;;;;;;5;5;6;14;;;6;6;;;5;13;;;;;;;;;11;19;30;3;7;1;3;6;7;;;;;;;;1;1;1;;;30;Urbano;2;2;;;;;;;;;;;;;;;ATENCIÓN EN EL HOGAR Y LA COMUNIDAD;3.- DOMICILIAR;30;;29;1;7;17;5;corriente;;;;;;;;;;;;;;;;;;;;;;;;;23;12;7;4;23;;EXTRAMURAL;PERSONAS CON DISCAPACIDAD;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64;
Zona Planificación 1;08D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A ESMERALDAS;ESMERALDAS;08;ESMERALDAS;0801;LUIS TELLO  (LAS PALMAS);080104;Costa;DESARROLLO INFANTIL INTEGRAL;CNH - Misión Ternura;4.- CNH - Misión Ternura;PUBLICOS;FONDOS MIES;ADMINISTRACION DIRECTA;ESTATAL;26;16;42;45;26;16;;;;;;;;;;3;;;;;;2;;;26;17;;;;;;;26;19;;;;;;;;;;;;;;;;;;;;;;45;Urbano;4;4;5;3;2;3;3;2;3;3;8;4;5;1;;;CNH - Misión Ternura;4.- CNH - Misión Ternura;45;;45;;11;34;;corriente;3;;;;3;;;3,00;6;;6;;6;;;;;;;;;;;;;;;;;;EXTRAMURAL;DESARROLLO INFANTIL INTEGRAL - MISIÓN TERNURA;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;158;1
Zona Planificación 1;08D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A ESMERALDAS;ESMERALDAS;08;ESMERALDAS;0801;LUIS TELLO  (LAS PALMAS);080104;Costa;DESARROLLO INFANTIL INTEGRAL;CNH - Misión Ternura;4.- CNH - Misión Ternura;PUBLICOS;FONDOS MIES;ADMINISTRACION DIRECTA;ESTATAL;22;17;39;45;22;17;;;;;;;;2;;4;;;;;12;16;;;8;7;;;;;2;;22;23;;;;;;;;;;;;;;;;;;;;;;45;Urbano;3;4;3;2;3;1;1;1;5;5;3;4;7;4;;;CNH - Misión Ternura;4.- CNH - Misión Ternura;45;;44;1;14;30;;corriente;6;;;2;4;;;2,33;9;;9;;9;1;;1;;1;;;;;;;;;;;;;EXTRAMURAL;DESARROLLO INFANTIL INTEGRAL - MISIÓN TERNURA;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;146;1
